ExternalElement,ItemName,Packet,ContainerType,RepeatMethod,APID,ShortDescription,LongDescription,DataType,Units,Conversion,Limits,SystemName,Source,FSWDataType,DisplayFormat,Equation,
beacon,cmd_succ_op,beacon,,,1,"Command successful opcode","",D8,,0/CMD_OPCODE_NOOP 1/CMD_OPCODE_ARM 2/CMD_OPCODE_RESET_STATS 16/CMD_OPCODE_FP_RESET 17/CMD_OPCODE_FP_RESET_RESULTS 18/CMD_OPCODE_FP_VALIDATE 19/CMD_OPCODE_FP_SET_TASK_STATE 20/CMD_OPCODE_FP_SET_WATCH_STATE 21/CMD_OPCODE_FP_DUMP_WATCH 22/CMD_OPCODE_FP_DUMP_RESULTS 23/CMD_OPCODE_FP_SET_WATCH_VALUES 24/CMD_OPCODE_FP_SET_WATCH_THRESH 25/CMD_OPCODE_FP_SET_WATCH_RESP 32/CMD_OPCODE_SET_PERF_MON_STATE 33/CMD_OPCODE_DES_RESET_STATS 34/CMD_OPCODE_DES_ADD_TASK 35/CMD_OPCODE_DES_SUB_TASK 36/CMD_OPCODE_DES_ADD_BACK 37/CMD_OPCODE_DES_SUB_BACK 38/CMD_OPCODE_DES_SET_TIME 48/CMD_OPCODE_SET_EVT_GROUP 49/CMD_OPCODE_SET_EVT_LOG 50/CMD_OPCODE_LOG_RESET_STATS 51/CMD_OPCODE_LOG_SET_MASK_STATE 52/CMD_OPCODE_LOG_RESET_LOG 53/CMD_OPCODE_LOG_ISSUE_LOG 64/CMD_OPCODE_LOAD_SEQUENCE 65/CMD_OPCODE_INIT_SEQUENCE 66/CMD_OPCODE_SET_SEQUENCE_STATE 67/CMD_OPCODE_VERIFY_SEQUENCE 68/CMD_OPCODE_STOP_SEQUENCE 69/CMD_OPCODE_FIND_SEQUENCE 70/CMD_OPCODE_INFO_SEQUENCE 71/CMD_OPCODE_DUMP_SEQUENCE 80/MEM_DUMP 81/MEM_LOAD 82/MEM_ERASE 83/MEM_XSUM 84/MEM_ABORT 85/MEM_RESET 86/MEM_LOAD_DWORD 87/MEM_LOAD_WORD 88/MEM_LOAD_BYTE 96/CMD_OPCODE_ISSUE_TLM_PKT 97/CMD_OPCODE_SET_TLM_RATE 98/CMD_OPCODE_SET_STREAM_STATE 99/CMD_OPCODE_PKT_SET_PRIORITY 128/CMD_OPCODE_UHF_PASS 129/CMD_OPCODE_UHF_INIT 130/CMD_OPCODE_UHF_RESP_STATE 131/CMD_OPCODE_UHF_SET_TX_GAP 144/CMD_OPCODE_ADCS_PASS 145/CMD_OPCODE_ADCS_RESET 146/CMD_OPCODE_ADCS_READ 147/CMD_OPCODE_ADCS_COARSE_POINT 148/CMD_OPCODE_ADCS_FINE_POINT 149/CMD_OPCODE_ADCS_RAM_POINT 150/CMD_OPCODE_ADCS_FINE_UPDATE 151/CMD_OPCODE_ADCS_RAM_UPDATE 152/CMD_OPCODE_ADCS_ECLIPSE_CHECK 160/CMD_OPCODE_EPS_PWR_ON 161/CMD_OPCODE_EPS_PWR_OFF 162/CMD_OPCODE_EPS_PWR_CYCLE 163/CMD_OPCODE_EPS_DEPLOY 164/CMD_OPCODE_EPS_HEATER_SETPOINT 165/CMD_OPCODE_EPS_HEATER_THRESH 166/CMD_OPCODE_EPS_ECLIPSE_THRESH 176/CMD_OPCODE_SD_WRITE_STATE 177/CMD_OPCODE_SD_READ 178/CMD_OPCODE_SD_READ_HALT 179/CMD_OPCODE_SD_PLAYBACK 181/CMD_OPCODE_SD_SELECT 182/CMD_OPCODE_SD_INIT 183/CMD_OPCODE_SD_SET_PARTITION 184/CMD_OPCODE_SD_UPDATE_PARTITION 185/CMD_OPCODE_SD_PWR_OFF 186/CMD_OPCODE_SD_RESET_FDRI 187/CMD_OPCODE_SD_SET_FDRI_LIMT 188/CMD_OPCODE_SD_TABLE_DEFAULT 208/CMD_OPCODE_CIP_SCI_MODE 226/CMD_OPCODE_SBAND_SET_PA 227/CMD_OPCODE_SBAND_SET_MODE 228/CMD_OPCODE_SBAND_SET_PA_LEVEL 229/CMD_OPCODE_SBAND_SET_SYNTH 230/CMD_OPCODE_SBAND_RESET 231/CMD_OPCODE_SBAND_DEBUG 232/CMD_OPCODE_SBAND_SET_ENCODER 233/CMD_OPCODE_SBAND_SYNC_ON 234/CMD_OPCODE_SBAND_SYNC_OFF 240/CMD_OPCODE_MODE_SET 241/CMD_OPCODE_MODE_AVOID 242/CMD_OPCODE_MODE_SET_THRESHOLD 243/CMD_OPCODE_MODE_CLEAR_CLT 244/CMD_OPCODE_MODE_SET_CLT_THRESHOLD 245/CMD_OPCODE_MODE_SET_LAUNCH_DELAY 246/CMD_OPCODE_MODE_SET_LAUNCH_DELAY_STATE 247/CMD_OPCODE_MODE_SET_DEPLOY_INT 248/CMD_OPCODE_MODE_SET_DEPLOY_FLAG 249/CMD_OPCODE_MODE_RESET_SC 250/CMD_OPCODE_MODE_AVOID_CLEAR 251/CMD_OPCODE_MODE_ECLIPSE_METHOD 252/CMD_OPCODE_MODE_AUTO_DIS 253/CMD_OPCODE_MODE_AUTO_ENA ,,,FSW,,,,
beacon,cmd_fail_op,beacon,,,1,"Command failed opcode","",D8,,0/CMD_OPCODE_NOOP 1/CMD_OPCODE_ARM 2/CMD_OPCODE_RESET_STATS 16/CMD_OPCODE_FP_RESET 17/CMD_OPCODE_FP_RESET_RESULTS 18/CMD_OPCODE_FP_VALIDATE 19/CMD_OPCODE_FP_SET_TASK_STATE 20/CMD_OPCODE_FP_SET_WATCH_STATE 21/CMD_OPCODE_FP_DUMP_WATCH 22/CMD_OPCODE_FP_DUMP_RESULTS 23/CMD_OPCODE_FP_SET_WATCH_VALUES 24/CMD_OPCODE_FP_SET_WATCH_THRESH 25/CMD_OPCODE_FP_SET_WATCH_RESP 32/CMD_OPCODE_SET_PERF_MON_STATE 33/CMD_OPCODE_DES_RESET_STATS 34/CMD_OPCODE_DES_ADD_TASK 35/CMD_OPCODE_DES_SUB_TASK 36/CMD_OPCODE_DES_ADD_BACK 37/CMD_OPCODE_DES_SUB_BACK 38/CMD_OPCODE_DES_SET_TIME 48/CMD_OPCODE_SET_EVT_GROUP 49/CMD_OPCODE_SET_EVT_LOG 50/CMD_OPCODE_LOG_RESET_STATS 51/CMD_OPCODE_LOG_SET_MASK_STATE 52/CMD_OPCODE_LOG_RESET_LOG 53/CMD_OPCODE_LOG_ISSUE_LOG 64/CMD_OPCODE_LOAD_SEQUENCE 65/CMD_OPCODE_INIT_SEQUENCE 66/CMD_OPCODE_SET_SEQUENCE_STATE 67/CMD_OPCODE_VERIFY_SEQUENCE 68/CMD_OPCODE_STOP_SEQUENCE 69/CMD_OPCODE_FIND_SEQUENCE 70/CMD_OPCODE_INFO_SEQUENCE 71/CMD_OPCODE_DUMP_SEQUENCE 80/MEM_DUMP 81/MEM_LOAD 82/MEM_ERASE 83/MEM_XSUM 84/MEM_ABORT 85/MEM_RESET 86/MEM_LOAD_DWORD 87/MEM_LOAD_WORD 88/MEM_LOAD_BYTE 96/CMD_OPCODE_ISSUE_TLM_PKT 97/CMD_OPCODE_SET_TLM_RATE 98/CMD_OPCODE_SET_STREAM_STATE 99/CMD_OPCODE_PKT_SET_PRIORITY 128/CMD_OPCODE_UHF_PASS 129/CMD_OPCODE_UHF_INIT 130/CMD_OPCODE_UHF_RESP_STATE 131/CMD_OPCODE_UHF_SET_TX_GAP 144/CMD_OPCODE_ADCS_PASS 145/CMD_OPCODE_ADCS_RESET 146/CMD_OPCODE_ADCS_READ 147/CMD_OPCODE_ADCS_COARSE_POINT 148/CMD_OPCODE_ADCS_FINE_POINT 149/CMD_OPCODE_ADCS_RAM_POINT 150/CMD_OPCODE_ADCS_FINE_UPDATE 151/CMD_OPCODE_ADCS_RAM_UPDATE 152/CMD_OPCODE_ADCS_ECLIPSE_CHECK 160/CMD_OPCODE_EPS_PWR_ON 161/CMD_OPCODE_EPS_PWR_OFF 162/CMD_OPCODE_EPS_PWR_CYCLE 163/CMD_OPCODE_EPS_DEPLOY 164/CMD_OPCODE_EPS_HEATER_SETPOINT 165/CMD_OPCODE_EPS_HEATER_THRESH 166/CMD_OPCODE_EPS_ECLIPSE_THRESH 176/CMD_OPCODE_SD_WRITE_STATE 177/CMD_OPCODE_SD_READ 178/CMD_OPCODE_SD_READ_HALT 179/CMD_OPCODE_SD_PLAYBACK 181/CMD_OPCODE_SD_SELECT 182/CMD_OPCODE_SD_INIT 183/CMD_OPCODE_SD_SET_PARTITION 184/CMD_OPCODE_SD_UPDATE_PARTITION 185/CMD_OPCODE_SD_PWR_OFF 186/CMD_OPCODE_SD_RESET_FDRI 187/CMD_OPCODE_SD_SET_FDRI_LIMT 188/CMD_OPCODE_SD_TABLE_DEFAULT 208/CMD_OPCODE_CIP_SCI_MODE 226/CMD_OPCODE_SBAND_SET_PA 227/CMD_OPCODE_SBAND_SET_MODE 228/CMD_OPCODE_SBAND_SET_PA_LEVEL 229/CMD_OPCODE_SBAND_SET_SYNTH 230/CMD_OPCODE_SBAND_RESET 231/CMD_OPCODE_SBAND_DEBUG 232/CMD_OPCODE_SBAND_SET_ENCODER 233/CMD_OPCODE_SBAND_SYNC_ON 234/CMD_OPCODE_SBAND_SYNC_OFF 240/CMD_OPCODE_MODE_SET 241/CMD_OPCODE_MODE_AVOID 242/CMD_OPCODE_MODE_SET_THRESHOLD 243/CMD_OPCODE_MODE_CLEAR_CLT 244/CMD_OPCODE_MODE_SET_CLT_THRESHOLD 245/CMD_OPCODE_MODE_SET_LAUNCH_DELAY 246/CMD_OPCODE_MODE_SET_LAUNCH_DELAY_STATE 247/CMD_OPCODE_MODE_SET_DEPLOY_INT 248/CMD_OPCODE_MODE_SET_DEPLOY_FLAG 249/CMD_OPCODE_MODE_RESET_SC 250/CMD_OPCODE_MODE_AVOID_CLEAR 251/CMD_OPCODE_MODE_ECLIPSE_METHOD 252/CMD_OPCODE_MODE_AUTO_DIS 253/CMD_OPCODE_MODE_AUTO_ENA ,,,FSW,,,,
beacon,cmd_fail_code,beacon,,,1,"Command fail code","",D8,,0/SUCCESS 1/MODE 2/ARM 3/SOURCE 4/OPCODE 5/METHOD 6/LENGTH 7/RANGE ,,,FSW,,,,
beacon,pwr_status,beacon,,,1,"Power status flags","",U8,,,,,FSW,,,,
beacon,eclipse_state,beacon,,,1,"Eclipse State of ADCS","",D1,,0/SUN 1/ECLIPSE ,,,FSW,,,,
beacon,pwr_status_sd1,beacon,,,1,"SD Card 1 Power State","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,pwr_status_sd0,beacon,,,1,"SD Card 0 Power State","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,pwr_status_htr,beacon,,,1,"Battery Heater Power State","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,pwr_status_sband,beacon,,,1,"SBAND Power State","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,pwr_status_adcs,beacon,,,1,"ADCS Power State","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,pwr_status_cip,beacon,,,1,"CIP Power State","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,pwr_status_daxss,beacon,,,1,"DAXSS Power State","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,sd_read_misc,beacon,,,1,"Partition read pointer - misc","",U32,,,,,FSW,,,,
beacon,sd_read_scic,beacon,,,1,"Partition read pointer - scic","",U32,,,,,FSW,,,,
beacon,sd_read_scid,beacon,,,1,"Partition read pointer - scid","",U32,,,,,FSW,,,,
beacon,sd_read_adcs,beacon,,,1,"Partition read pointer - adcs","",U32,,,,,FSW,,,,
beacon,sd_read_beacon,beacon,,,1,"Partition read pointer - beacon","",U32,,,,,FSW,,,,
beacon,sd_read_log,beacon,,,1,"Partition read pointer - log","",U32,,,,,FSW,,,,
beacon,sd_write_misc,beacon,,,1,"Partition write pointer - misc","",U32,,,,,FSW,,,,
beacon,sd_write_scic,beacon,,,1,"Partition write pointer - scic","",U32,,,,,FSW,,,,
beacon,sd_write_scid,beacon,,,1,"Partition write pointer - scid","",U32,,,,,FSW,,,,
beacon,sd_write_adcs,beacon,,,1,"Partition write pointer - adcs","",U32,,,,,FSW,,,,
beacon,sd_write_beacon,beacon,,,1,"Partition write pointer - beacon","",U32,,,,,FSW,,,,
beacon,sd_write_log,beacon,,,1,"Partition write pointer - log","",U32,,,,,FSW,,,,
beacon,cmd_loss_timer,beacon,,,1,"Seconds until command loss timer","",U32,,,,,FSW,,,,
beacon,alive_flags,beacon,,,1,"Subsytem aliveness flags","",U8,,,,,FSW,,,,
beacon,clt_state,beacon,,,1,"State of CLT Fault","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,alive_daxss,beacon,,,1,"DAXSS Aliveness State","",D1,,0/DEAD 1/ALIVE ,,,FSW,,,,
beacon,alive_cip,beacon,,,1,"CIP Aliveness State","",D1,,0/DEAD 1/ALIVE ,,,FSW,,,,
beacon,alive_adcs,beacon,,,1,"ADCS Aliveness State","",D1,,0/DEAD 1/ALIVE ,,,FSW,,,,
beacon,alive_sband,beacon,,,1,"SBAND Aliveness State","",D1,,0/DEAD 1/ALIVE ,,,FSW,,,,
beacon,alive_uhf,beacon,,,1,"UHF Aliveness State","",D1,,0/DEAD 1/ALIVE ,,,FSW,,,,
beacon,alive_sd1,beacon,,,1,"SD Card 1 Aliveness State","",D1,,0/DEAD 1/ALIVE ,,,FSW,,,,
beacon,alive_sd0,beacon,,,1,"SD Card 0 Aliveness State","",D1,,0/DEAD 1/ALIVE ,,,FSW,,,,
beacon,cip_comstat,beacon,,,1,"CIP com stat field","",U32,,,,,FSW,,,,
beacon,cip_temp1,beacon,,,1,"CIP temp 1","",I16,,C0=0.000000 C1=0.007813 ,,,FSW,,,,
beacon,cip_temp2,beacon,,,1,"CIP temp 2","",I16,,C0=0.000000 C1=0.007813 ,,,FSW,,,,
beacon,cip_temp3,beacon,,,1,"CIP temp 3","",I16,,C0=0.000000 C1=0.007813 ,,,FSW,,,,
beacon,uhf_temp_buff,beacon,,,1,"UHF Temp","",U2,,,,,FSW,,,,
beacon,uhf_temp,beacon,,,1,"UHF Temp","",I6,,,,,FSW,,,,
beacon,uhf_config,beacon,,,1,"UHF Temp","",U8,,,,,FSW,,,,
beacon,uhf_locked,beacon,,,1,"UHF Locked Mode","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,uhf_readback,beacon,,,1,"UHF Readback Mode","",D2,,0/N 1/B 2/T ,,,FSW,,,,
beacon,uhf_swd,beacon,,,1,"UHF SWD Mode","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,uhf_afc,beacon,,,1,"UHF AFC Mode","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,uhf_echo,beacon,,,1,"UHF Echo Mode","",D1,,0/OFF 1/ON ,,,FSW,,,,
beacon,uhf_channel,beacon,,,1,"UHF Channel","",D2,,0/A 1/B 2/D ,,,FSW,,,,
beacon,sband_pa_curr,beacon,,,1,"SBand Power Amplifier Current","",U16,,C0=0.000000 C1=0.000040 ,,,FSW,,,,
beacon,sband_pa_volt,beacon,,,1,"SBand Power Amplifier Voltage","",U16,,C0=0.000000 C1=0.004000 ,,,FSW,,,,
beacon,sband_rf_pwr,beacon,,,1,"SBand RF Power","",U16,,C0=0.000000 C1=0.001139 ,,,FSW,,,,
beacon,sband_pa_temp,beacon,,,1,"SBand Power Amplifier Temp","",U16,,C0=-50.000000 C1=0.073242 ,,,FSW,,,,
beacon,sband_top_temp,beacon,,,1,"SBAND Board Top Temperature","",U16,,C0=0.000000 C1=0.062500 ,,,FSW,,,,
beacon,sband_bottom_temp,beacon,,,1,"SBAND Board Bottom Temperature","",U16,,C0=0.000000 C1=0.062500 ,,,FSW,,,,
beacon,adcs_cmd_acpt,beacon,,,1,"ADCS Command Accept Count","",U8,,,,,FSW,,,,
beacon,adcs_cmd_fail,beacon,,,1,"ADCS Command Reject Count","",U8,,,,,FSW,,,,
beacon,adcs_time,beacon,,,1,"ADCS GPS Time","",I32,,,,,FSW,,,,
beacon,adcs_info,beacon,,,1,"ADCS Info","",U8,,,,,FSW,,,,
beacon,adcs_att_valid,beacon,,,1,"ADCS Attitude Valid","",U1,,,,,FSW,,,,
beacon,adcs_refs_valid,beacon,,,1,"ADCS Refs Valid","",U1,,,,,FSW,,,,
beacon,adcs_time_valid,beacon,,,1,"ADCS Time Valid","",U1,,,,,FSW,,,,
beacon,adcs_mode,beacon,,,1,"ADCS Mode","",D1,,0/SUN 1/FINE ,,,FSW,,,,
beacon,adcs_recom_sun_pt,beacon,,,1,"ADCS Recommed Sun Point","",D1,,0/NO 1/YES ,,,FSW,,,,
beacon,adcs_sun_pt_state,beacon,,,1,"ADCS Sun Point State","",D3,,0/UNDEF 1/UNDEF 2/SEARCH_INIT 3/SEARCHING 4/WAITING 5/CONVERGING 6/ON_SUN 7/NOT_ACTIVE ,,,FSW,,,,
beacon,adcs_star_temp,beacon,,,1,"ADCS Star Track Temp","",I8,,C0=0.000000 C1=0.800000 ,,,FSW,,,,
beacon,adcs_wheel_temp1,beacon,,,1,"ADCS Wheel Temp 1","",I16,,C0=0.000000 C1=0.005000 ,,,FSW,,,,
beacon,adcs_wheel_temp2,beacon,,,1,"ADCS Wheel Temp 2","",I16,,C0=0.000000 C1=0.005000 ,,,FSW,,,,
beacon,adcs_wheel_temp3,beacon,,,1,"ADCS Wheel Temp 3","",I16,,C0=0.000000 C1=0.005000 ,,,FSW,,,,
beacon,adcs_digi_bus_volt,beacon,,,1,"ADCS Digi Bus Voltage","",I16,,C0=0.000000 C1=0.001250 ,,,FSW,,,,
beacon,adcs_sun_vec1,beacon,,,1,"ADCS Sun Vector 1","",I16,,C0=0.000000 C1=0.000100 ,,,FSW,,,,
beacon,adcs_sun_vec2,beacon,,,1,"ADCS Sun Vector 2","",I16,,C0=0.000000 C1=0.000100 ,,,FSW,,,,
beacon,adcs_sun_vec3,beacon,,,1,"ADCS Sun Vector 3","",I16,,C0=0.000000 C1=0.000100 ,,,FSW,,,,
beacon,adcs_wheel_sp1,beacon,,,1,"ADCS Wheel Speed 1","",I16,,C0=0.000000 C1=0.400000 ,,,FSW,,,,
beacon,adcs_wheel_sp2,beacon,,,1,"ADCS Wheel Speed 2","",I16,,C0=0.000000 C1=0.400000 ,,,FSW,,,,
beacon,adcs_wheel_sp3,beacon,,,1,"ADCS Wheel Speed 3","",I16,,C0=0.000000 C1=0.400000 ,,,FSW,,,,
beacon,adcs_body_rt1,beacon,,,1,"ADCS Body Frame Rate 1","",I32,,C0=0.000000 C1=0.000000 ,,,FSW,,,,
beacon,adcs_body_rt2,beacon,,,1,"ADCS Body Frame Rate 2","",I32,,C0=0.000000 C1=0.000000 ,,,FSW,,,,
beacon,adcs_body_rt3,beacon,,,1,"ADCS Body Frame Rate 3","",I32,,C0=0.000000 C1=0.000000 ,,,FSW,,,,
beacon,pad1,beacon,,,1,"","",U32,,,,,FSW,,,,
beacon,pad2,beacon,,,1,"","",U32,,,,,FSW,,,,
beacon,pad3,beacon,,,1,"","",U32,,,,,FSW,,,,
beacon,daxss_time_sec,beacon,,,1,"DAXSS Time Stamp (seconds)","",U32,,,,,FSW,,,,
beacon,daxss_cmd_op,beacon,,,1,"DAXSS Command Last opcode","",U8,,,,,FSW,,,,
beacon,daxss_cmd_succ,beacon,,,1,"DAXSS Command Accept Count","",U8,,,,,FSW,,,,
beacon,daxss_cmd_fail,beacon,,,1,"DAXSS Command Reject Count","",U8,,,,,FSW,,,,
beacon,daxss_cdh_enables,beacon,,,1,"DAXSS CDH Enables","",U16,,,,,FSW,,,,
beacon,daxss_cdh_temp,beacon,,,1,"DAXSS CDH Temp","",I16,,C0=0.000000 C1=0.003906 ,,,FSW,,,,
beacon,daxss_sps_rate,beacon,,,1,"DAXSS SPS Sum Rate","",U32,,,,,FSW,,,,
beacon,daxss_sps_x,beacon,,,1,"DAXSS SPS X","",U16,,,,,FSW,,,,
beacon,daxss_sps_y,beacon,,,1,"DAXSS SPS Y","",U16,,,,,FSW,,,,
beacon,daxss_slow_count,beacon,,,1,"DAXSS X Slow Count Rate","",U16,,,,,FSW,,,,
beacon,bat_fg1,beacon,,,1,"Battery Voltage","",U16,,C0=0.000000 C1=0.003906 ,,,FSW,,,,
beacon,daxss_curr,beacon,,,1,"DAXSS Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,daxss_volt,beacon,,,1,"DAXSS Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,cdh_curr,beacon,,,1,"CDH Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,cdh_volt,beacon,,,1,"CDH Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,sband_curr,beacon,,,1,"SBand Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,sband_volt,beacon,,,1,"SBand Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,uhf_curr,beacon,,,1,"UHF Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,uhf_volt,beacon,,,1,"UHF Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,heater_curr,beacon,,,1,"Battery Heater Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,heater_volt,beacon,,,1,"Battery Heater Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,sp2_curr,beacon,,,1,"SP2 Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,sp2_volt,beacon,,,1,"SP2 Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,sp1_curr,beacon,,,1,"SP1 Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,sp1_volt,beacon,,,1,"SP1 Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,sp0_curr,beacon,,,1,"SP0 Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,sp0_volt,beacon,,,1,"SP0 Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,bat_vcell,beacon,,,1,"Battery FG Voltage","",U16,,,,,FSW,,,,
beacon,gps_12v_2_curr,beacon,,,1,"GPS 12V_2 Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,gps_12v_2_volt,beacon,,,1,"GPS 12V_2 Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,gps_12v_1_curr,beacon,,,1,"GPS 12V_1 Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,gps_12v_1_volt,beacon,,,1,"GPS 12V_1 Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,bat_curr,beacon,,,1,"Battery Sense Curr","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,bat_volt,beacon,,,1,"Battery Sense Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,adcs_curr,beacon,,,1,"ADCS Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,adcs_volt,beacon,,,1,"ADCS Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,3p3_curr,beacon,,,1,"3.3 Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,3p3_volt,beacon,,,1,"3.3 Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,cip_curr,beacon,,,1,"CIP Current","",U16,,C0=0.000000 C1=0.000500 ,,,FSW,,,,
beacon,cip_volt,beacon,,,1,"CIP Voltage","",U16,,C0=0.000000 C1=0.001000 ,,,FSW,,,,
beacon,obc_temp,beacon,,,1,"OBC Temperature 1","",U16,,C0=91.394000 C1=-0.089493 C2=0.000036 C3=-0.000000 C4=0.000000 ,,,FSW,,,,
beacon,eps_temp,beacon,,,1,"EPS Temperature","",U16,,C0=91.394000 C1=-0.089493 C2=0.000036 C3=-0.000000 C4=0.000000 ,,,FSW,,,,
beacon,int_temp,beacon,,,1,"Interface Temperature","",U16,,C0=91.394000 C1=-0.089493 C2=0.000036 C3=-0.000000 C4=0.000000 ,,,FSW,,,,
beacon,sp0_temp,beacon,,,1,"SP0 Temperature","",U16,,C0=91.394000 C1=-0.089493 C2=0.000036 C3=-0.000000 C4=0.000000 ,,,FSW,,,,
beacon,bat0_temp,beacon,,,1,"Battery 0 Temperature","",U16,,C0=91.394000 C1=-0.089493 C2=0.000036 C3=-0.000000 C4=0.000000 ,,,FSW,,,,
beacon,sp1_temp,beacon,,,1,"SP1 Temperature","",U16,,C0=91.394000 C1=-0.089493 C2=0.000036 C3=-0.000000 C4=0.000000 ,,,FSW,,,,
beacon,bat1_temp,beacon,,,1,"Battery 1 Temperature","",U16,,C0=91.394000 C1=-0.089493 C2=0.000036 C3=-0.000000 C4=0.000000 ,,,FSW,,,,
beacon,sp2_temp,beacon,,,1,"SP2 Temperature","",U16,,C0=91.394000 C1=-0.089493 C2=0.000036 C3=-0.000000 C4=0.000000 ,,,FSW,,,,
beacon,bat_fg3,beacon,,,1,"Battery Gauge","",U16,,C0=0.000000 C1=0.003906 ,,,FSW,,,,
beacon,bat0_temp_conv,beacon,,,1,"Battery Temp 0 Converted","",F32,,,,,FSW,,,,
beacon,bat1_temp_conv,beacon,,,1,"Battery Temp 1 Converted","",F32,,,,,FSW,,,,
beacon,mode,beacon,,,1,"Current system mode","",D8,,0/PHOENIX 1/SAFE 2/SCID 3/SCIC ,,,FSW,,,,
SC_FSW_11,VERSION,des_hk,,,11,"","",U3,,,,,FSW,,,,
SC_FSW_11,TYPE,des_hk,,,11,"","",U1,,,,,FSW,,,,
SC_FSW_11,SEC_HDR_FLAG,des_hk,,,11,"","",U1,,,,,FSW,,,,
SC_FSW_11,PKT_APID,des_hk,,,11,"","",U11,,,,,FSW,,,,
SC_FSW_11,SEQ_FLGS,des_hk,,,11,"","",U2,,,,,FSW,,,,
SC_FSW_11,SRC_SEQ_CTR,des_hk,,,11,"","",U14,,,,,FSW,,,,
SC_FSW_11,PKT_LEN,des_hk,,,11,"","",U16,,,,,FSW,,,,
SC_FSW_11,SHCOARSE,des_hk,,,11,"Seconds count","",U32,dn,,,,FSW,,,,
SC_FSW_11,SHFINE,des_hk,,,11,"Subsecond count","",U16,dn,,,,FSW,,,,
